BROOK-HQ	Headquarters	Brooks County Library
CHAT-TRION	Trion Public Library	Chattooga County Library
CHAT-SMRVL	Summerville Branch	Chattooga County Library
CHRL-LW	LaFayette-Walker County Library	Cherokee Regional Library
CHRL-ROSS	Rossville Public Library	Cherokee Regional Library
CHRL-CHICK	Chickamauga Public Library	Cherokee Regional Library
CHRL-DADE	Dade County Public Library	Cherokee Regional Library
CRLS-LMPKN	Lumpkin County Library	Chestatee Regional Library
CRLS-DAWSN	Dawson County Library	Chestatee Regional Library
DTRL-CAMI	Camilla-DeSoto Trail Regional Library	Desoto Trail Regional Library
DTRL-SYLV	Sylvester-Margaret Jones Library	Desoto Trail Regional Library
DTRL-BLAK	Blakely-Maddox Memorial Library	Desoto Trail Regional Library
DTRL-PELH	Pelham-Pelham Carnegie Library	Desoto Trail Regional Library
FBHCL-MAIN	Fitzgerald-Ben Hill Library	Fitzgerald-Ben Hill Library
FRRLS-GR	Griffin-Spalding County Library	Flint River Regional Library
FRRLS-JA	Jackson-Butts County Public Library	Flint River Regional Library
FRRLS-BA	Barnesville-Lamar County Library	Flint River Regional Library
FRRLS-FY	Monroe County Library	Flint River Regional Library
FRRLS-FA	Fayette County Public Library	Flint River Regional Library
FRRLS-PT	Peachtree City Library	Flint River Regional Library
FRRLS-ZE	J. Joel Edwards Public Library	Flint River Regional Library
FRRLS-TY	Tyrone Public Library	Flint River Regional Library
HART-HQ	Hart County Library	Hart County Library
HCLS-LG	Locust Grove Public Library	Henry County Library
HCLS-MD	Alexander Public Library / McDonough	Henry County Library
HCLS-ST	Cochran Public Library / Stockbridge	Henry County Library
HCLS-HA	Fortson Public Library / Hampton	Henry County Library
HOU-PE	Perry Branch Library	Houston County Public Library
HOU-WR	Nola Brantley Memorial Library	Houston County Public Library
HOU-CV	Centerville Branch Library	Houston County Public Library
JCL-LVILLE	Louisville Public Library	Jefferson County Library
JCL-WRENS	McCollum Public Library	Jefferson County Library
JCL-WADLEY	Wadley Public Library	Jefferson County Library
JCL-BKMOBL	Bookmobile	Jefferson County Library
KRLS-AR	Arlington Branch Library	Kinchafoonee Regional Library
KRLS-CA	Calhoun County Public Library	Kinchafoonee Regional Library
KRLS-CL	Clay County Public Library	Kinchafoonee Regional Library
KRLS-RA	Randolph County Public Library	Kinchafoonee Regional Library
KRLS-TE	Terrell County Public Library	Kinchafoonee Regional Library
KRLS-WE	Webster County Public Library	Kinchafoonee Regional Library
KRLS-KI	Kinchafoonee Regional Library System	Kinchafoonee Regional Library
LEE-SMV	Smithville Library	Lee County Public Library
LEE-LSB	Lee County Library	Lee County Public Library
MGRL-WA	Washington Memorial Library	Middle Georgia Regional Library
MGRL-SH	Shurling Branch Library	Middle Georgia Regional Library
MGRL-RV	Riverside Branch Library	Middle Georgia Regional Library
MGRL-RC	Rocky Creek Branch Library	Middle Georgia Regional Library
MGRL-WB	West Bibb Branch Library	Middle Georgia Regional Library
TLLS-MV	Mary Vinson Memorial Library	Twin Lakes Library
MGRL-RO	Crawford County Public Library	Middle Georgia Regional Library
MGRL-JO	Jones County Public Library	Middle Georgia Regional Library
MGRL-ID	Ideal Public Library	Middle Georgia Regional Library
MGRL-OG	Oglethorpe Public Library	Middle Georgia Regional Library
MGRL-MA	Marshallville Public Library	Middle Georgia Regional Library
MGRL-MO	Montezuma Public Library	Middle Georgia Regional Library
MGRL-TW	Twiggs County Public Library	Middle Georgia Regional Library
MGRL-EW	East Wilkinson County Library	Middle Georgia Regional Library
MGRL-GO	Gordon Public Library	Middle Georgia Regional Library
MGRL-GH	Genealogical and Historical Department	Middle Georgia Regional Library
MGRL-LB	Library for the Blind & Physically Handicapped	Middle Georgia Regional Library
MGRL-MM	Miss Martha Bookmobile	Middle Georgia Regional Library
ARL-ATH	Athens-Clarke County Library	Athens Regional Library
MGRL-RE	Regional Library	Middle Georgia Regional Library
MCCLS-HQ	Moultrie-Colquitt County Library	Moultrie-Colquitt County Library
TRRL-SAPLO	Sapelo Branch Library	Three Rivers Regional Library
MCCLS-DOE	Monroe Memorial Library	Moultrie-Colquitt County Library
MCCLS-BKM	Bookmobile	Moultrie-Colquitt County Library
MRLS-MRL	Mountain Regional Library System	Mountain Regional Library
MRLS-BKMB	Bookmobile	Mountain Regional Library
MRLS-FCPL	Fannin County Public Library	Mountain Regional Library
MRLS-TCPL	Towns County Public Library	Mountain Regional Library
MRLS-UCPL	Union County Public Library	Mountain Regional Library
NEG-CLRKVL	Clarkesville-Habersham County Library	Northeast Georgia Regional Library
NEG-CORNEL	Cornelia-Habersham County Library	Northeast Georgia Regional Library
NEG-CLVLND	White County Library - Cleveland Branch	Northeast Georgia Regional Library
NEG-HELEN	White County Library - Helen Branch	Northeast Georgia Regional Library
NEG-RABUN	Rabun County Library	Northeast Georgia Regional Library
NEG-TOCCOA	Toccoa-Stephens County Library	Northeast Georgia Regional Library
PIED-PEN	Pendergrass Public Library	Piedmont Regional Library System
ORLS-HDQ	Ocmulgee Regional Library Headquarters	Ocmulgee Regional Library
ORLS-TEL	Telfair County Library	Ocmulgee Regional Library
ORLS-BLE	Bleckly County Library	Ocmulgee Regional Library
ORLS-WIL	Wilcox County Library	Ocmulgee Regional Library
ORLS-PUL	Pulaski County Library	Ocmulgee Regional Library
ORLS-WHE	Wheeler County Library	Ocmulgee Regional Library
ORLS-EXT	Extension Services	Ocmulgee Regional Library
OHOOP-VIDT	Vidalia-Toombs County Library	Ohoopee Regional Library
OHOOP-MONT	Montgomery County Library	Ohoopee Regional Library
OHOOP-LYON	Nelle Brown Memorial [Lyon]	Ohoopee Regional Library
OHOOP-TATR	Tattnall County Library [Reidsville]	Ohoopee Regional Library
OHOOP-TATG	Tattnall County Library [Glennville]	Ohoopee Regional Library
OHOOP-BKML	Bookmobile	Ohoopee Regional Library
PPL-TPL	Thomas Public Library	Peach Public Libraries
PPL-BPL	Byron Public Library	Peach Public Libraries
PPL-LEC	Peach County Law Enforcement Center	Peach Public Libraries
PMRLS-BPL	Butler Public Library	Pine Mountain Regional Library
PMRLS-HML	Hightower Memorial Library	Pine Mountain Regional Library
PMRLS-GPL	Greenville Area Public Library	Pine Mountain Regional Library
PMRLS-MPL	Manchester Public Library	Pine Mountain Regional Library
PMRLS-RCL	Reynolds Community Library	Pine Mountain Regional Library
PMRLS-TCL	Talbot County Library	Pine Mountain Regional Library
PMRLS-EXT	Extension Services	Pine Mountain Regional Library
RML-MAIN	Roddenbery Memorial Library	Roddenbery Memorial Library
SRL-AMBR	Ambrose Public Library	Satilla Regional Library
SRL-BKMO	Bookmobile	Satilla Regional Library
SRL-BROX	Broxton Public Library	Satilla Regional Library
SRL-DOUG	Douglas-Coffee County Library	Satilla Regional Library
SRL-JDHAZ	Hazlehurst-Jeff Davis Branch	Satilla Regional Library
SRL-NICH	Nicholls Public Library	Satilla Regional Library
SRL-PEAR	Pearson Public Library	Satilla Regional Library
SRL-WILLA	Willacoochee Public Library	Satilla Regional Library
SJRLS-SCL	Screven County Library	Screven-Jenkins Regional Library
SJRLS-JCML	Jenkins County Memorial Library	Screven-Jenkins Regional Library
SJRLS-BKM	Bookmobile	Screven-Jenkins Regional Library
SJRLS-JCES	Jenkins County Elementary School	Screven-Jenkins Regional Library
TRRL-SSI	St. Simons Library	Three Rivers Regional Library
SWGRL-DEC	Decatur County Public Library	Southwest Georgia Regional Library
SWGRL-BKM	Bookmobile	Southwest Georgia Regional Library
SWGRL-SEM	Seminole Public Library	Southwest Georgia Regional Library
SWGRL-MIL	Miller County Public Library	Southwest Georgia Regional Library
ARL-WAT	Watkinsville/Oconee County Library	Athens Regional Library
ARL-BOG	Bogart Library	Athens Regional Library
ARL-LEX	Lexington/Oglethorpe County Library	Athens Regional Library
ARL-DAN	Danielsville/Madison County Library	Athens Regional Library
ARL-WINT	Winterville Library	Athens Regional Library
ARL-LAV	Lavonia Carnegie Library	Athens Regional Library
ARL-ROY	Royston Library	Athens Regional Library
URRLS-GR	Greene County Public Library	Uncle Remus Regional Library
URRLS-HA	Hancock County Public Library	Uncle Remus Regional Library
URRLS-JA	Jasper County Public Library	Uncle Remus Regional Library
URRLS-MA	Morgan County Library	Uncle Remus Regional Library
URRLS-MR	Monroe-Walton County Library	Uncle Remus Regional Library
URRLS-OK	O'Kelly Memorial Library	Uncle Remus Regional Library
URRLS-PU	Putnam County Public Library	Uncle Remus Regional Library
URRLS-SC	Stanton Memorial Library	Uncle Remus Regional Library
OHOOP-LADS	Ladson Genealogical Library	Ohoopee Regional Library
ARL-ENSAT	Sandy Creek ENSAT Resource Ctr.	Athens Regional Library
ARL-LYNDON	Lyndon House Art Resource Ctr.	Athens Regional Library
ARL-BKM	Bookmobile	Athens Regional Library
ARL-EAST	East Athens Community Resource Ctr.	Athens Regional Library
ARL-LAY	Lay Park Community Resource Ctr.	Athens Regional Library
BTRL-MWL	Mary Willis Library	Bartram Trail Regional Library
BTRL-MCD	Thomson-McDuffie County Library	Bartram Trail Regional Library
BTRL-TCL	Taliaferro County Library	Bartram Trail Regional Library
BTRL-BKM	Bookmobile	Bartram Trail Regional Library
CLAYTN-HQS	Headquarters Library	Clayton County Library System
CLAYTN-FOR	Forest Park Branch	Clayton County Library System
CLAYTN-JON	Jonesboro Branch	Clayton County Library System
