URI	code	Label (English)	Label (French)
http://id.loc.gov/vocabulary/relators/abr	abr	Abridger	
http://id.loc.gov/vocabulary/relators/acp	acp	Art copyist	
http://id.loc.gov/vocabulary/relators/act	act	Actor	
http://id.loc.gov/vocabulary/relators/adi	adi	Art director	
http://id.loc.gov/vocabulary/relators/adp	adp	Adapter	
http://id.loc.gov/vocabulary/relators/aft	aft	Author of afterword, colophon, etc.	
http://id.loc.gov/vocabulary/relators/anl	anl	Analyst	
http://id.loc.gov/vocabulary/relators/anm	anm	Animator	
http://id.loc.gov/vocabulary/relators/ann	ann	Annotator	
http://id.loc.gov/vocabulary/relators/ant	ant	Bibliographic antecedent	
http://id.loc.gov/vocabulary/relators/ape	ape	Appellee	
http://id.loc.gov/vocabulary/relators/apl	apl	Appellant	
http://id.loc.gov/vocabulary/relators/app	app	Applicant	
http://id.loc.gov/vocabulary/relators/aqt	aqt	Author in quotations or text abstracts	
http://id.loc.gov/vocabulary/relators/arc	arc	Architect	
http://id.loc.gov/vocabulary/relators/ard	ard	Artistic director	
http://id.loc.gov/vocabulary/relators/arr	arr	Arranger	
http://id.loc.gov/vocabulary/relators/art	art	Artist	
http://id.loc.gov/vocabulary/relators/asg	asg	Assignee	
http://id.loc.gov/vocabulary/relators/asn	asn	Associated name	
http://id.loc.gov/vocabulary/relators/ato	ato	Autographer	
http://id.loc.gov/vocabulary/relators/att	att	Attributed name	
http://id.loc.gov/vocabulary/relators/auc	auc	Auctioneer	
http://id.loc.gov/vocabulary/relators/aud	aud	Author of dialog	
http://id.loc.gov/vocabulary/relators/aui	aui	Author of introduction, etc.	
http://id.loc.gov/vocabulary/relators/aus	aus	Screenwriter	
http://id.loc.gov/vocabulary/relators/aut	aut	Author	
http://id.loc.gov/vocabulary/relators/bdd	bdd	Binding designer	
http://id.loc.gov/vocabulary/relators/bjd	bjd	Bookjacket designer	
http://id.loc.gov/vocabulary/relators/bkd	bkd	Book designer	
http://id.loc.gov/vocabulary/relators/bkp	bkp	Book producer	
http://id.loc.gov/vocabulary/relators/blw	blw	Blurb writer	
http://id.loc.gov/vocabulary/relators/bnd	bnd	Binder	
http://id.loc.gov/vocabulary/relators/bpd	bpd	Bookplate designer	
http://id.loc.gov/vocabulary/relators/brd	brd	Broadcaster	
http://id.loc.gov/vocabulary/relators/brl	brl	Braille embosser	
http://id.loc.gov/vocabulary/relators/bsl	bsl	Bookseller	
http://id.loc.gov/vocabulary/relators/cas	cas	Caster	
http://id.loc.gov/vocabulary/relators/ccp	ccp	Conceptor	
http://id.loc.gov/vocabulary/relators/chr	chr	Choreographer	
http://id.loc.gov/vocabulary/relators/cli	cli	Client	
http://id.loc.gov/vocabulary/relators/cll	cll	Calligrapher	
http://id.loc.gov/vocabulary/relators/clr	clr	Colorist	
http://id.loc.gov/vocabulary/relators/clt	clt	Collotyper	
http://id.loc.gov/vocabulary/relators/cmm	cmm	Commentator	
http://id.loc.gov/vocabulary/relators/cmp	cmp	Composer	
http://id.loc.gov/vocabulary/relators/cmt	cmt	Compositor	
http://id.loc.gov/vocabulary/relators/cnd	cnd	Conductor	
http://id.loc.gov/vocabulary/relators/cng	cng	Cinematographer	
